u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
9547025378,9540212029,0,365519033,Avenue D,residential,False,105.002,,,,"LINESTRING (-97.1528922 33.211661, -97.1528927 33.2126053)"
9547025491,2970522586,0,9980995,Chestnut Street,unclassified,False,72.035,,,,"LINESTRING (-97.1528438 33.2115612, -97.1520695 33.2115644)"
9547025491,81976539,0,9980995,Chestnut Street,unclassified,False,4.503,,,,"LINESTRING (-97.1528438 33.2115612, -97.1528922 33.211561)"
9547025495,81976539,0,9981001,Chestnut Street,unclassified,False,17.453,,,,"LINESTRING (-97.1530798 33.2115612, -97.1528922 33.211561)"
9547025495,81977568,0,9981001,Chestnut Street,unclassified,False,8.252,,,,"LINESTRING (-97.1530798 33.2115612, -97.1531685 33.2115613)"
9547025496,81977568,0,9981001,Chestnut Street,unclassified,False,19.713,,,,"LINESTRING (-97.1533804 33.211561, -97.1531685 33.2115613)"
9547025496,2996287343,0,9981001,Chestnut Street,unclassified,False,15.761,,,,"LINESTRING (-97.1533804 33.211561, -97.1535421 33.2115187)"
9547064585,5115469345,0,9980852,Avenue C,tertiary,True,47.427,,,,"LINESTRING (-97.1507502 33.2121053, -97.1507552 33.2116788)"
9547159268,5060888348,0,9980856,Avenue C,tertiary,True,21.573,,,,"LINESTRING (-97.1506461 33.2123845, -97.1506437 33.2125785)"
9547159286,5060888371,0,9982427,West Sycamore Street,unclassified,False,38.087,,,,"LINESTRING (-97.1534223 33.2126882, -97.153013 33.2126805)"
9549816859,5059238889,0,365519035,Eagle Drive,tertiary,False,11.503,,,,"LINESTRING (-97.1506388 33.2067751, -97.1505152 33.2067726)"
9549816859,5059238791,0,365519035,Eagle Drive,tertiary,False,8.692,,,,"LINESTRING (-97.1506388 33.2067751, -97.1507322 33.206777)"
9562931565,7051097975,0,9981388,Cleveland Street,residential,False,25.11,,,,"LINESTRING (-97.1378911 33.2064517, -97.1378947 33.2062259)"
9562931565,3013713937,0,9981388,Cleveland Street,residential,False,7.484,,,,"LINESTRING (-97.1378911 33.2064517, -97.13789 33.206519)"
